Model,Accuracy,F1-Score,ROC-AUC,Time (s)
XGBoost,99.99532036365028,99.95693873556469,99.99997189276324,13.637609958648682
Random Forest,99.99340596696177,99.93933107618844,99.99999719015716,147.69197010993958
