Task,Model,Accuracy (%),F1-Score (%),Time (s)
Binary,XGBoost,99.99532036365028,99.95693873556469,13.637609958648682
Binary,Random Forest,99.99340596696177,99.93933107618844,147.69197010993958
Multi-class,XGBoost,98.68821284687805,98.74159582174417,516.1101236343384
Multi-class,Random Forest,98.65800792134807,98.72034169203441,4516.098707675934
